id,Selling_Price,km_Driven,City_Code,State_Code,Fuel,Seller_Type,Transmission,Owner,Mileage,Engine,Max_Power,Seats,Region_code,Sales_status
0,950000,50000,17,9,1,1,1,0,25.5,1498,98.6,5,4,1
1,1140000,50000,3,12,1,1,1,0,19.67,1582,126.2,5,3,1
2,600000,50000,2,12,3,1,1,0,17.4,1497,117.3,5,3,1
3,360000,50000,4,13,0,1,1,0,26.6,998,58.16,5,3,1
4,550000,50000,2,12,3,1,1,0,20.85,1197,83.14,5,3,1
5,700000,50000,28,12,1,1,1,0,28.4,1248,74.02,5,3,1
6,290000,50000,5,10,3,1,0,0,16.95,1197,78.9,5,4,1
7,525000,50000,3,12,3,1,1,0,17.19,1197,81.86,5,3,1
8,650000,50000,19,15,3,1,0,0,21.4,1197,83.1,5,0,1
9,400000,50000,8,17,3,1,1,0,20.4,1197,81.8,5,4,1
10,250000,50000,13,2,1,1,1,0,23.08,1461,63.1,5,2,1
11,240000,50000,27,3,3,1,1,0,22.74,796,47.3,5,1,1
12,900000,50000,16,2,1,1,1,0,28.4,1248,74.02,5,2,1
13,320000,50000,3,12,3,1,1,0,23.1,998,67.04,5,3,1
14,229999,50000,16,2,3,1,1,0,19.81,1086,68.05,5,2,1
15,270000,50000,23,5,3,1,1,0,22.74,796,47.3,5,3,1
16,300000,50000,1,7,1,1,1,0,25.44,936,57.6,5,2,1
17,110000,50000,6,5,1,1,1,0,17.2,1396,53.5,5,3,1
18,200000,50000,16,2,3,1,1,0,18.6,1199,76.8,5,2,1
19,325000,50000,15,11,3,1,0,0,19.34,1198,76,5,5,1
20,1650000,50000,3,12,1,1,1,0,17.1,1956,170,5,3,1
21,235000,50000,11,15,3,1,1,0,21.1,814,55.2,5,0,1
22,450000,50000,28,12,1,1,1,0,22.95,1248,74,5,3,1
23,300000,50000,18,4,3,1,1,0,23.01,999,67,5,3,1
24,395000,50000,14,8,3,1,1,0,23.1,998,67.04,5,1,1
25,715000,50000,13,2,1,1,1,0,22.54,1396,88.73,5,2,1
26,360000,50000,23,5,1,1,1,0,27.28,1047,69,5,3,1
27,265000,50000,9,4,3,1,1,0,25.17,799,53.3,5,3,1
28,695000,50000,0,7,1,1,1,0,26.59,1248,74,5,2,1
29,550000,50000,14,8,1,1,1,0,24.7,1047,69,5,1,1
30,535000,50000,5,10,1,1,1,0,19.87,1461,83.8,5,4,1
31,550000,50000,18,4,1,1,1,0,24,1186,73.97,5,3,1
32,770000,50000,22,4,1,1,1,0,24.3,1248,88.5,5,3,1
33,325000,50000,16,2,3,1,1,0,17.57,1193,88.7,5,2,1
34,290000,50000,4,13,3,1,1,0,23.01,999,67,5,3,1
35,1000000,50000,13,2,1,1,1,0,28.09,1248,88.5,5,2,1
36,166000,50000,13,2,3,1,1,0,16.8,796,34.2,5,2,1
37,1400000,50000,0,7,1,1,0,0,14.84,2143,170,5,2,1
38,200000,50000,9,4,3,1,1,0,25.17,799,53.3,5,3,1
39,625000,50000,0,7,1,1,1,0,25.4,1186,73.97,5,2,1
